item_id,item_material,item_num,item_length,item_width,item_order
0,YSH-0218S,1,1998,562,order91
1,HT9-0218S,1,622,176,order396
2,XXB-0218S,1,288,474.8,order376
3,YSH-0218S,1,298,294.5,order179
4,YSH-0225S,1,1237.5,558,order194
5,YSH-0218S,1,646,521,order138
6,YSH-0215S,1,1080,685,order133
7,YSH-0218S,1,903.5,613,order231
8,YSH-0215S,1,623,52.5,order25
9,JH-0218S,1,1033,326,order182
10,YSH-0215S,1,288,238,order137
11,YSH-0218SD,1,2208,997,order266
12,YSH-0218SD,1,1988,58,order179
14,YDH-0218S,1,482,167,order92
15,YSH-0218S,1,388,290,order401
16,HT9-0218S,1,2377,598,order106
17,HT9-0215S,1,338,118,order396
18,YSH-0218S,1,1514,375,order401
19,YSH-0215S,1,815,439,order314
20,YSH-0215S,1,488,118,order394
21,YSH-0218S,1,771,555,order141
22,HT9-0225S,1,1188,580,order290
23,YSH-0218S,1,304,48,order25
24,YSH-0215S,1,492.5,771,order25
25,YSH-0218SD,1,762,535,order104
26,XYHX-0218S,1,705,297,order25
27,YSH-0218S,1,1058,38,order303
28,YSH-0218S,1,748,310,order352
29,YSH-0218S,1,272,274.5,order182
30,YDH-0218S,1,961,1156,order93
31,NSLH-0218S,1,1034,277.5,order377
32,YSH-0218SD,1,1988,58,order179
33,HT9-0218S,1,836,58,order74
35,PGBL-0418S,1,642.5,478,order380
36,YSH-0218S,1,736.5,426.3,order136
37,YSH-0218S,1,844,98,order136
39,HT9-0215S,1,1549.5,502,order132
40,NSLH-0215S,1,419.5,749,order374
41,HT9-0218S,1,494.5,427.5,order74
42,HT9-0215S,1,901.5,980,order397
44,HT9-0215S,1,438,118,order73
45,HT9-0218S,1,447,375,order74
46,YSH-0218S,1,1558,348,order204
47,HT9-0218S,1,871,510,order124
48,YSH-0218SD,1,873,78,order104
49,HT9-0218S,1,476,560,order316
51,YSH-0218SD,1,729.5,445,order137
52,YSH-0218S,1,861,307.5,order137
53,YDH-0215S,1,1901,482,order92
54,NSLH-0218S,1,1303,58,order375
55,YSH-0218S,1,546,580,order210
56,YSH-0215S,1,502,339,order83
57,YSH-0218SD,1,355,777,order393
58,NSLH-0218S,1,462,429,order267
59,YSH-0218S,1,608,558,order194
60,YSH-0218S,1,1252,579,order13
61,YSH-0215S,1,178,714,order194
62,HT9-0218S,1,379.5,288,order132
63,HT9-0215S,1,2241,812.5,order132
64,HT9-0218S,1,424,540,order147
65,HT9-0218S,1,708.5,378,order380
66,PGBL-0418S,1,642.5,476,order380
67,NSLH-0218S,1,409,579,order373
68,NSLH-0218S,1,773,38,order375
69,NSLH-0218S,1,447,304,order373
70,YSH-0215S,1,604,389,order221
71,HT9-0218S,1,871,527,order124
72,PGBL-0418S,1,344,357.5,order263
73,YSH-0218S,1,1198,830,order105
74,YSH-0218S,1,714,557,order194
75,YSH-0215S,1,485,52.5,order142
76,YSH-0215S,1,659.5,511,order210
77,YSH-0218SD,1,883,58,order179
78,YSH-0218S,1,582.5,486,order394
79,HT9-0218S,1,739,388,order187
80,XXB-0215S,1,672,389,order201
81,NSLH-0218S,1,360,579,order374
82,YSH-0218S,1,892,575,order42
83,YSH-0218S,1,814,328,order179
84,YSH-0218S,1,458,83,order352
85,YSH-0215S,1,485,92.5,order142
86,YSH-0218S,1,521,342,order326
87,YSH-0218SD,1,588,68,order266
89,HT9-0218S,1,790,374.9,order397
90,YSH-0218S,1,661,424,order25
91,HT9-0218S,1,2418,58,order130
92,YSH-0215S,1,388,158,order221
93,HT9-0215S,1,824,439,order316
94,HT9-0215S,1,438,158,order316
