item_id,item_material,item_num,item_length,item_width,item_order,ItemS,分批次结果,,,,
22739,GDMY-0218S,1,1366,38,order1,0.051908,4,,,,
22823,XXB-0215S,1,764,92.5,order1,0.07067,4,,,,
22843,GDMY-0218S,1,428,578,order1,0.247384,4,,,,
22857,GDMY-0215S,1,1901,881,order1,1.674781,4,,,,
22886,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
22942,XXB-0218S,1,1607,420,order1,0.67494,4,,,,
22983,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
23131,XXB-0218S,1,2187,344,order1,0.752328,4,,,,
23132,XXB-0215S,1,488,118,order1,0.057584,4,,,,
23184,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
23264,GDMY-0218S,1,409.5,558,order1,0.228501,4,,,,
23326,XXB-0215S,1,488,78,order1,0.038064,4,,,,
23359,GDMY-0218S,1,577,38,order1,0.021926,4,,,,
23418,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
23466,GDMY-0218S,1,428,578,order1,0.247384,4,,,,
23580,GDMY-0218S,1,427,578,order1,0.246806,4,,,,
23682,GDMY-0215S,1,1901,821,order1,1.560721,4,,,,
23763,GDMY-0218S,1,320,558,order1,0.17856,4,,,,
23766,GDMY-0218S,1,821,558,order1,0.458118,4,,,,
23831,GDMY-0218S,1,428,578,order1,0.247384,4,,,,
23961,GDMY-0218S,1,881,879.5,order1,0.77484,4,,,,
24026,XXB-0218S,1,684,172,order1,0.117648,4,,,,
24027,GDMY-0218S,1,409.5,558,order1,0.228501,4,,,,
24036,GDMY-0218S,1,881,879.5,order1,0.77484,4,,,,
24177,GDMY-0215S,1,408.5,881,order1,0.359889,4,,,,
24229,GDMY-0218S,1,427,880,order1,0.37576,4,,,,
24282,XXB-0218S,1,424.5,420,order1,0.17829,4,,,,
24283,GDMY-0218S,1,1662,577,order1,0.958974,4,,,,
24301,XXB-0215S,1,488,118,order1,0.057584,4,,,,
24447,XXB-0218S,1,1607,420,order1,0.67494,4,,,,
24468,XXB-0218S,1,845,154,order1,0.13013,4,,,,
24489,GDMY-0218S,1,1998,880,order1,1.75824,4,,,,
24581,GDMY-0218S,1,427,578,order1,0.246806,4,,,,
24582,GDMY-0218S,1,660,558,order1,0.36828,4,,,,
24583,XXB-0215S,1,488,118,order1,0.057584,4,,,,
24673,XXB-0218S,1,424.5,420,order1,0.17829,4,,,,
24674,XXB-0218S,1,322,420,order1,0.13524,4,,,,
24691,XXB-0218S,1,322,420,order1,0.13524,4,,,,
24897,GDMY-0218S,1,319,556,order1,0.177364,4,,,,
24980,XXB-0215S,1,488,118,order1,0.057584,4,,,,
25042,XXB-0218S,1,1607,420,order1,0.67494,4,,,,
25081,XXB-0215S,1,765,489,order1,0.374085,4,,,,
25158,GDMY-0218SD,1,881,58,order1,0.051098,4,,,,
25180,GDMY-0218S,1,428,578,order1,0.247384,4,,,,
25183,GDMY-0218S,1,1000,575,order1,0.575,4,,,,
25418,GDMY-0218S,1,881,879.5,order1,0.77484,4,,,,
25482,GDMY-0215S,1,409.5,1000,order1,0.4095,4,,,,
25551,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
25589,XXB-0215S,1,488,118,order1,0.057584,4,,,,
