原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YW10-0218S,0,0,0,2147,0,517
YW10-0218S,0,1,0,1339,0,352.5
YW10-0218S,0,2,0,58,0,2001
YW10-0218S,0,3,58,702,517,1179.5
YW10-0218S,1,4,0,568,0,170
YW10-0218S,1,5,0,1998,0,558
YW10-0218S,1,6,0,343,558,92.5
YW10-0218S,1,7,343,358,558,769
YW10-0218S,2,8,0,630,0,2348
YW10-0218S,2,9,0,2348,0,558
YW10-0218S,3,10,0,368,0,1568
YW10-0218S,3,11,368,400,0,1320.5
YW10-0218S,3,12,368,461,1320.5,373
YW10-0218S,3,13,0,925,1693.5,38
YW10-0218S,3,14,925,98,0,2078
YW10-0218S,3,15,925,942,0,392
YW10-0218S,3,16,0,289,1731.5,508
YW10-0218S,3,17,0,58,1731.5,2161
YW10-0218S,3,18,289,439,1731.5,245
YW10-0218S,3,19,289,478,1731.5,878
YW10-0218S,4,20,0,418,0,458
YW10-0218S,4,21,418,735,0,558
YW10-0218S,4,22,0,344,458,530
YW10-0218S,4,23,0,299,458,2398
YW10-0218S,4,24,344,172.5,558,753
YW10-0218S,4,25,516.5,338,558,198
YW10-0218S,4,26,516.5,1625,558,377
YW10-0218S,5,27,0,503,0,172.5
YW10-0218S,5,28,0,1517.5,0,258
YW10-0218S,5,29,0,261.5,258,907.5
YW10-0218S,5,30,261.5,579,258,2182
YW10-0218S,5,31,261.5,507,258,415
YW10-0218S,5,32,840.5,92.5,258,363
YW10-0218S,5,33,840.5,709,258,369
YW10-0218S,5,34,840.5,264,627,470
YW10-0218S,5,35,840.5,531,627,387.5
YW10-0218S,6,36,0,1964,0,395
YW10-0218S,6,37,0,754,395,387.5
YW10-0218S,6,38,0,550,782.5,448
YW10-0218S,6,39,754,158,395,488
YW10-0218S,6,40,550,370,883,1198
YW10-0218S,6,41,550,2198,883,198
YW10-0218S,6,42,0,593,2081,225
YW10-0218S,6,43,912,158,395,438
YW10-0218S,6,44,920,132.5,1081,713
YW10-0218S,6,45,0,377,1230.5,460
YW10-0218S,7,46,0,118,0,2048
YW10-0218S,7,47,118,270,0,258
YW10-0218S,7,48,388,558,0,662.5
YW10-0218S,7,49,118,447,662.5,882
YW10-0218S,7,50,565,548,662.5,1159
YW10-0218S,7,51,118,294.5,1544.5,666
YW10-0218S,7,52,412.5,338,1821.5,198
YW10-0218S,7,53,1113,38,0,2353
YW10-0218S,7,54,1113,717,0,644
YW10-0218S,7,55,946,148,0,548
YW10-0218S,7,56,946,771,0,480
YW10-0218S,8,57,0,2114,0,441.5
YW10-0218S,8,58,0,701,441.5,260
YW10-0218S,8,59,701,334.5,441.5,544
YW10-0218S,8,60,0,540,701.5,427
YW10-0218S,8,61,0,1128,1128.5,348
YW10-0218S,8,62,540,338,985.5,118
YW10-0218S,8,63,0,712,1476.5,327
YW10-0218S,8,64,0,218,1476.5,2367
YW10-0218S,9,65,0,338,0,158
YW10-0218S,9,66,338,337,0,1755
YW10-0218S,9,67,675,328,0,880
YW10-0218S,9,68,0,880,1755,328
YW10-0218S,10,69,0,1063,0,1981
YW10-0218S,10,70,1063,138,0,1462
YW10-0218S,10,71,1063,395,0,560
YW10-0218S,11,72,0,998,0,866
YW10-0218S,11,73,0,555,866,840
YW10-0218S,11,74,998,58,0,673
YW10-0218S,11,75,1056,98,0,2388
