原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
NBSY-0218SD,0,25091,0,383,0,1198
NBSY-0218SD,0,25092,0,921,1198,567
NBSY-0218SD,0,25093,383,488,0,158
NBSY-0218SD,0,25094,383,535,158,811
NBSY-0218SD,0,25095,918,198,0,716
NBSY-0218SD,0,25096,918,2301,0,400
NBSY-0218SD,0,25097,918,58,0,2138
NBSY-0218SD,0,25098,918,1472,0,58
NBSY-0218SD,0,25099,1116,78,400,388
NBSY-0218SD,0,25100,976,128,716,444.5
NBSY-0218SD,1,25102,0,471.5,0,930
NBSY-0218SD,1,25103,471.5,618,0,38
NBSY-0218SD,1,25104,471.5,357,38,792
NBSY-0218SD,1,25105,828.5,387,38,439
NBSY-0218SD,1,25106,0,764,930,555
NBSY-0218SD,1,25107,828.5,347,477,351
NBSY-0218SD,1,25108,828.5,339,828,372
NBSY-0218SD,1,25109,0,558,1485,133
NBSY-0218SD,1,25110,558,533.5,1485,394
NBSY-0218SD,1,25111,764,229,1200,279.5
NBSY-0218SD,1,25112,0,770,1879,58
NBSY-0218SD,1,25113,0,721,1879,966
NBSY-0218SD,2,25114,0,58,0,950
NBSY-0218SD,2,25115,58,318,0,392
NBSY-0218SD,2,25116,58,2218,0,58
NBSY-0218SD,2,25117,58,2360,0,357
NBSY-0218SD,2,25118,376,488,357,78
NBSY-0218SD,2,25119,58,400,435,58
NBSY-0218SD,2,25120,458,385,435,795.5
NBSY-0218SD,2,25121,0,452,950,229
NBSY-0218SD,2,25122,864,118,357,1839
NBSY-0218SD,3,25123,0,1391.5,0,885
NBSY-0218SD,3,25124,0,58,885,1011
NBSY-0218SD,3,25125,58,426.5,885,677
NBSY-0218SD,3,25126,484.5,38,885,1220
NBSY-0218SD,3,25127,484.5,2398,885,38
NBSY-0218SD,3,25128,522.5,58,923,822
NBSY-0218SD,3,25129,522.5,2241,923,400
NBSY-0218SD,3,25130,522.5,38,923,2438
NBSY-0218SD,3,25131,580.5,38,1323,883
NBSY-0218SD,4,25132,0,438,0,158
NBSY-0218SD,4,25133,438,338,0,766
NBSY-0218SD,4,25134,0,580,766,1562
NBSY-0218SD,4,25135,0,790,766,359.5
NBSY-0218SD,4,25136,776,305,0,132.5
NBSY-0218SD,4,25137,1081,58,0,1954
NBSY-0218SD,4,25138,0,1202,2328,58
NBSY-0218SD,4,25139,0,545,2328,432
NBSY-0218SD,5,25140,0,400,0,58
NBSY-0218SD,5,25141,400,450,0,2084
NBSY-0218SD,5,25142,400,2334,0,435
NBSY-0218SD,5,25143,0,58,58,2360
NBSY-0218SD,5,25144,58,513.5,2084,92.5
NBSY-0218SD,5,25145,850,362,435,627
NBSY-0218SD,5,25146,850,397,435,710
NBSY-0218SD,5,25147,571.5,488,2084,158
NBSY-0218SD,6,25149,0,1410.5,0,330
NBSY-0218SD,6,25150,0,792,330,329
NBSY-0218SD,6,25151,0,2053,330,758
NBSY-0218SD,6,25152,0,473,1088,212.5
NBSY-0218SD,6,25153,473,538,1088,427
NBSY-0218SD,6,25154,0,1210,1515,58
NBSY-0218SD,6,25155,0,377,1300.5,162
NBSY-0218SD,6,25156,0,319,1573,345
NBSY-0218SD,7,25157,0,844,0,489
NBSY-0218SD,7,25158,0,468,489,766
NBSY-0218SD,7,25159,468,418.5,489,815
NBSY-0218SD,7,25160,0,550,1304,458.5
NBSY-0218SD,7,25161,0,677,1762.5,426.5
NBSY-0218SD,7,25162,0,398,1255,48
NBSY-0218SD,7,25163,886.5,132.5,0,817
NBSY-0218SD,7,25164,886.5,277.5,817,825
NBSY-0218SD,7,25165,886.5,762,817,579
NBSY-0218SD,7,25166,0,876,2189,58
NBSY-0218SD,7,25167,0,770,2189,328
NBSY-0218SD,7,25168,0,579,2189,360
NBSY-0218SD,8,25169,0,770,0,58
NBSY-0218SD,8,25170,0,530,58,807
NBSY-0218SD,8,25171,770,38,0,2438
NBSY-0218SD,8,25172,770,851.5,0,474
NBSY-0218SD,8,25173,0,438,865,880
NBSY-0218SD,8,25174,0,911,865,52.5
NBSY-0218SD,8,25175,530,38,58,449
NBSY-0218SD,8,25176,0,579,1745,662
NBSY-0218SD,8,25177,0,558,1745,822
NBSY-0218SD,8,25178,0,819,1745,318
NBSY-0218SD,8,25179,911,148,474,1210
NBSY-0218SD,8,25180,568,177,58,692
NBSY-0218SD,9,25181,0,200,0,353
NBSY-0218SD,9,25182,200,172.5,0,371
NBSY-0218SD,9,25183,372.5,216.5,0,636.5
NBSY-0218SD,9,25184,589,380,0,2398
NBSY-0218SD,9,25185,0,510,636.5,778
NBSY-0218SD,9,25186,0,390,636.5,2252
NBSY-0218SD,9,25187,0,488,636.5,158
NBSY-0218SD,9,25188,0,613,636.5,499
NBSY-0218SD,10,25189,0,330,0,298
NBSY-0218SD,10,25190,330,782,0,328
NBSY-0218SD,10,25191,0,380,328,38
NBSY-0218SD,10,25192,380,432,328,547
NBSY-0218SD,10,25193,0,527,875,401
NBSY-0218SD,10,25194,812,379,328,376
NBSY-0218SD,10,25195,812,558,328,2098
NBSY-0218SD,10,25196,812,1112,328,557
NBSY-0218SD,10,25197,527,78,875,562
NBSY-0218SD,11,25198,0,442,0,255
NBSY-0218SD,11,25199,442,438,0,118
NBSY-0218SD,11,25200,0,892,255,58
NBSY-0218SD,11,25201,0,363,313,489
NBSY-0218SD,11,25202,0,2398,313,398
NBSY-0218SD,11,25203,363,378,711,574
NBSY-0218SD,11,25204,741,398,711,432.5
NBSY-0218SD,11,25205,0,330,802,481
NBSY-0218SD,11,25206,741,316,1143.5,439
NBSY-0218SD,11,25207,0,341,1283,930
NBSY-0218SD,11,25208,341,778,1582.5,373.5
NBSY-0218SD,12,25209,0,356,0,337
NBSY-0218SD,12,25210,0,2377,0,415
NBSY-0218SD,12,25211,0,446,415,481
NBSY-0218SD,12,25212,0,2347,415,558
NBSY-0218SD,12,25214,0,376,973,379
NBSY-0218SD,13,25215,0,458,0,380.5
NBSY-0218SD,13,25216,458,434,0,308
NBSY-0218SD,13,25217,458,438,308,158
NBSY-0218SD,13,25218,0,872,466,459.5
NBSY-0218SD,13,25219,0,617,925.5,121.5
NBSY-0218SD,13,25220,0,1597,925.5,55
NBSY-0218SD,13,25221,896,83,0,446
NBSY-0218SD,13,25222,0,865,1047,498
NBSY-0218SD,13,25223,979,78,0,388
NBSY-0218SD,13,25224,0,358,1545,383
NBSY-0218SD,13,25225,358,558,1545,553
NBSY-0218SD,13,25226,0,756,2098,92.5
NBSY-0218SD,13,25227,896,305,446,269
NBSY-0218SD,13,25228,0,253,380.5,48
NBSY-0218SD,13,25229,0,626.5,380.5,1210
NBSY-0218SD,14,25230,0,572,0,108
NBSY-0218SD,14,25231,572,242,0,703.5
NBSY-0218SD,14,25232,814,58,0,1859
NBSY-0218SD,14,25233,0,377,108,1135
NBSY-0218SD,14,25234,0,719,1243,178
NBSY-0218SD,14,25235,872,198,0,836
NBSY-0218SD,14,25236,0,577,1421,448
NBSY-0218SD,14,25237,377,161,108,248
NBSY-0218SD,14,25238,872,310,836,1447.5
NBSY-0218SD,14,25240,0,793,1869,327.5
NBSY-0218SD,14,25241,377,276,703.5,267
NBSY-0218SD,14,25242,377,343,703.5,278
NBSY-0218SD,14,25243,377,269,703.5,347
NBSY-0218SD,15,25244,0,872,0,58
NBSY-0218SD,15,25245,0,1525.5,0,360
NBSY-0218SD,15,25246,0,512,360,1316.5
NBSY-0218SD,15,25247,0,38,360,2355
NBSY-0218SD,15,25248,512,697,360,386
NBSY-0218SD,15,25249,512,448,746,78
NBSY-0218SD,15,25251,512,310,824,379.3
NBSY-0218SD,15,25252,512,662,1203.3,587
NBSY-0218SD,16,25254,0,298,0,2198
NBSY-0218SD,16,25255,298,838,0,379
NBSY-0218SD,16,25256,298,2146,0,763
NBSY-0218SD,17,25257,0,1343,0,58
NBSY-0218SD,17,25258,0,58,58,1768
NBSY-0218SD,17,25259,58,597,58,58
NBSY-0218SD,17,25260,58,2338,58,598
NBSY-0218SD,17,25261,58,464,656,92.5
NBSY-0218SD,17,25262,522,320,656,638
NBSY-0218SD,17,25263,58,448,748.5,1196.8
NBSY-0218SD,17,25264,506,557,1294,947
NBSY-0218SD,18,25265,0,344,0,299.5
NBSY-0218SD,18,25266,344,372,0,489
NBSY-0218SD,18,25267,716,411,0,663
NBSY-0218SD,18,25268,0,1132,663,347
NBSY-0218SD,18,25269,1132,58,0,1688
NBSY-0218SD,18,25270,0,831,1010,530
NBSY-0218SD,18,25271,831,259.5,1010,716
NBSY-0218SD,18,25272,0,364,1540,439
NBSY-0218SD,18,25273,364,359,1540,732
NBSY-0218SD,18,25274,364,58,1540,1780
NBSY-0218SD,18,25275,364,1198,1540,348
NBSY-0218SD,19,25276,0,538,0,936
NBSY-0218SD,19,25277,538,547,0,351
NBSY-0218SD,19,25278,538,559,351,851
NBSY-0218SD,19,25279,0,906,1202,689
NBSY-0218SD,19,25280,0,598,1891,455
NBSY-0218SD,19,25281,0,777,1891,329
NBSY-0218SD,19,25282,0,792,1891,329
NBSY-0218SD,19,25283,906,132,1202,593
NBSY-0218SD,19,25284,0,288,936,78
NBSY-0218SD,19,25285,1085,78,0,348
NBSY-0218SD,19,25286,1085,347,0,579
NBSY-0218SD,20,25287,0,732,0,360
NBSY-0218SD,20,25288,732,269,0,408
NBSY-0218SD,20,25289,1001,158,0,238
NBSY-0218SD,20,25290,1001,568,0,2425
NBSY-0218SD,20,25291,0,280.5,360,553
NBSY-0218SD,20,25292,280.5,659,408,330
NBSY-0218SD,20,25293,280.5,38,408,2098
NBSY-0218SD,20,25294,318.5,372,738,201
NBSY-0218SD,20,25295,318.5,408,939,212.5
NBSY-0218SD,20,25296,726.5,268,738,423
NBSY-0218SD,20,25297,318.5,675,1161,327
NBSY-0218SD,20,25298,318.5,349,1488,548
NBSY-0218SD,21,25299,0,454,0,413
NBSY-0218SD,21,25300,454,300,0,344
NBSY-0218SD,21,25301,454,559,344,1112
NBSY-0218SD,21,25302,1013,158,0,488
NBSY-0218SD,21,25303,754,238,0,118
NBSY-0218SD,21,25304,0,599,1456,115
NBSY-0218SD,21,25305,0,1439.5,1456,395
NBSY-0218SD,21,25306,0,239,413,639.5
NBSY-0218SD,21,25307,0,998,1851,248
NBSY-0218SD,21,25308,239,121.5,413,981.5
NBSY-0218SD,21,25309,239,537,413,400
NBSY-0218SD,21,25310,239,1704,413,58
NBSY-0218SD,21,25311,1013,58,488,660
NBSY-0218SD,21,25312,1013,516,488,811
NBSY-0218SD,22,25313,0,268.5,0,466
NBSY-0218SD,22,25314,268.5,576,0,811
NBSY-0218SD,22,25315,0,762,811,58
NBSY-0218SD,22,25316,0,617,869,121.5
NBSY-0218SD,22,25317,617,562,869,427
NBSY-0218SD,22,25318,844.5,78,0,438
NBSY-0218SD,22,25319,0,792,1296,58
NBSY-0218SD,22,25320,0,556,1354,418
NBSY-0218SD,22,25321,0,1183,1772,58
NBSY-0218SD,22,25322,0,365,1830,536
NBSY-0218SD,22,25323,0,980,1830,576
NBSY-0218SD,22,25324,0,534,1830,465
NBSY-0218SD,23,25325,0,710.5,0,182.5
NBSY-0218SD,23,25326,710.5,58,0,562
NBSY-0218SD,23,25327,710.5,1498,0,598
NBSY-0218SD,23,25328,0,78,182.5,338
NBSY-0218SD,23,25329,0,440,182.5,2386
NBSY-0218SD,24,25330,0,328,0,783
NBSY-0218SD,24,25331,328,594.5,0,175.5
NBSY-0218SD,24,25333,328,377,175.5,376
NBSY-0218SD,24,25334,922.5,132.5,0,461
NBSY-0218SD,24,25335,705,488,461,558
NBSY-0218SD,24,25336,1055,162,0,377
NBSY-0218SD,24,25337,0,1044,1019,178
NBSY-0218SD,24,25338,1044,78,1019,488
NBSY-0218SD,24,25339,1044,415,1019,2386
NBSY-0218SD,24,25340,1044,432,1019,1428
NBSY-0218SD,25,25342,0,2084,0,501
NBSY-0218SD,25,25343,0,546,0,2018
NBSY-0218SD,25,25344,0,1443.5,0,475
NBSY-0218SD,25,25345,546,187,501,310
NBSY-0218SD,26,25346,0,349,0,322
NBSY-0218SD,26,25347,349,557,0,2053
NBSY-0218SD,26,25348,349,479,0,1816
NBSY-0218SD,26,25349,906,309.5,0,792
NBSY-0218SD,26,25350,906,410,0,655
NBSY-0218SD,26,25351,0,289,322,537
NBSY-0218SD,27,25352,0,948,0,248
NBSY-0218SD,27,25353,948,239,0,630.5
NBSY-0218SD,27,25354,948,58,0,2418
NBSY-0218SD,27,25355,948,2410,0,38
NBSY-0218SD,27,25356,948,373,0,2298
NBSY-0218SD,27,25357,948,1132,0,359
NBSY-0218SD,27,25358,0,577,248,515
NBSY-0218SD,27,25359,0,1248,248,58
NBSY-0218SD,27,25360,0,418,763,770
NBSY-0218SD,27,25361,418,497,763,730
NBSY-0218SD,28,25362,0,482,0,751
NBSY-0218SD,28,25363,482,425,0,2084
NBSY-0218SD,28,25364,907,238,0,498
NBSY-0218SD,28,25365,907,507,0,570
NBSY-0218SD,28,25366,0,474,751,48
NBSY-0218SD,28,25368,907,248,570,1198
NBSY-0218SD,28,25369,0,347,799,402
NBSY-0218SD,28,25370,347,78,799,448
NBSY-0218SD,28,25371,0,289,1201,580.5
NBSY-0218SD,29,25372,0,288,0,118
NBSY-0218SD,29,25373,0,1439.5,0,395
NBSY-0218SD,29,25374,0,1430,0,623
NBSY-0218SD,29,25375,0,330,0,2389
NBSY-0218SD,29,25376,330,574,623,975
NBSY-0218SD,29,25377,904,198,623,288
NBSY-0218SD,29,25378,1102,52.5,623,536
NBSY-0218SD,30,25379,0,920.5,0,38
NBSY-0218SD,30,25380,920.5,238,0,238
NBSY-0218SD,30,25381,0,132.5,38,609
NBSY-0218SD,30,25382,132.5,900,238,558
NBSY-0218SD,30,25383,0,348,796,1243
NBSY-0218SD,30,25384,0,900,796,553
NBSY-0218SD,30,25385,348,731,1349,547
NBSY-0218SD,30,25386,1158.5,38,0,2438
NBSY-0218SD,31,25387,0,58,0,936
NBSY-0218SD,31,25388,58,278,0,298
NBSY-0218SD,31,25389,336,558,0,2098
NBSY-0218SD,31,25390,0,592.5,2098,289
NBSY-0218SD,31,25391,894,38,0,2438
NBSY-0218SD,31,25392,894,537,0,289
NBSY-0218SD,31,25393,894,530,0,2348
NBSY-0218SD,32,25394,0,558,0,880
NBSY-0218SD,32,25396,558,298,0,298
NBSY-0218SD,32,25397,856,78,0,338
NBSY-0218SD,32,25398,558,408.8,338,2084
NBSY-0218SD,32,25399,0,488,880,198
NBSY-0218SD,32,25400,966.8,78,0,438
NBSY-0218SD,32,25401,1044.8,38,0,2438
NBSY-0218SD,32,25402,0,358,1078,519.5
NBSY-0218SD,32,25403,0,822,1078,200
NBSY-0218SD,32,25405,1082.8,58,0,968
NBSY-0218SD,33,25406,0,248,0,643
NBSY-0218SD,33,25407,248,530,0,1998
NBSY-0218SD,33,25408,778,254.5,0,580
NBSY-0218SD,33,25409,778,528,0,735
NBSY-0218SD,34,25410,0,38,0,2398
NBSY-0218SD,34,25411,38,763,0,2146
NBSY-0218SD,34,25412,801,320,0,638
NBSY-0218SD,34,25413,1121,58,0,1011
NBSY-0218SD,34,25414,38,440,2146,172.5
NBSY-0218SD,34,25415,38,553,2146,440
NBSY-0218SD,34,25416,801,378,1011,634
NBSY-0218SD,34,25417,801,794,1011,297
NBSY-0218SD,35,25418,0,58,0,262
NBSY-0218SD,35,25419,58,407,0,58
NBSY-0218SD,35,25420,58,2398,0,380
NBSY-0218SD,35,25421,0,58,262,1485
NBSY-0218SD,35,25422,58,342.5,380,962
NBSY-0218SD,35,25423,400.5,374,380,732
NBSY-0218SD,35,25424,400.5,1918,380,38
NBSY-0218SD,35,25425,774.5,378,418,634
NBSY-0218SD,35,25426,1152.5,38,418,527
NBSY-0218SD,35,25427,400.5,644,1112,409
NBSY-0218SD,35,25428,400.5,38,1112,2420
NBSY-0218SD,35,25429,438.5,595,1521,811
NBSY-0218SD,36,25430,0,947,0,58
NBSY-0218SD,36,25431,0,753,58,348
NBSY-0218SD,36,25432,753,298,58,598
NBSY-0218SD,36,25433,1051,58,0,732
NBSY-0218SD,36,25434,0,238,406,488
NBSY-0218SD,36,25435,1109,78,0,438
NBSY-0218SD,36,25436,1109,2228,0,58
NBSY-0218SD,36,25437,238,557,656,750
NBSY-0218SD,36,25438,795,214,656,408
NBSY-0218SD,36,25439,795,422,1064,339
NBSY-0218SD,36,25440,0,734,1406,418.5
NBSY-0218SD,36,25441,734,427,1406,562
NBSY-0218SD,36,25442,238,318,406,38
NBSY-0218SD,36,25443,0,474,1824.5,489
NBSY-0218SD,36,25444,0,287,1824.5,1783
NBSY-0218SD,37,25445,0,580,0,2398
NBSY-0218SD,37,25446,0,1063,0,177
NBSY-0218SD,38,25447,0,771,0,2251
NBSY-0218SD,38,25448,771,389,0,462
NBSY-0218SD,38,25449,1160,38,0,595
NBSY-0218SD,38,25450,1160,548,0,431
NBSY-0218SD,38,25451,1160,380,0,2098
NBSY-0218SD,39,25452,0,811,0,58
NBSY-0218SD,39,25453,0,461,58,237
NBSY-0218SD,39,25454,811,329,0,792
NBSY-0218SD,39,25455,461,329,58,1196.8
NBSY-0218SD,39,25456,0,344,295,300
NBSY-0218SD,39,25457,0,398,595,373
NBSY-0218SD,39,25458,0,1480,595,309
NBSY-0218SD,39,25459,790,252,904,1040
NBSY-0218SD,39,25460,790,1235,904,298
NBSY-0218SD,39,25461,0,447.5,968,541.5
NBSY-0218SD,39,25462,1042,132.5,1202,470
NBSY-0218SD,39,25463,447.5,338,1254.8,118
NBSY-0218SD,40,25464,0,437,0,553
NBSY-0218SD,40,25465,437,745,0,625
NBSY-0218SD,40,25467,0,372,553,489
NBSY-0218SD,40,25468,372,432,625,545
NBSY-0218SD,40,25469,804,380,625,1418.5
NBSY-0218SD,40,25470,0,38,1042,638
NBSY-0218SD,40,25471,0,478,1042,1478
NBSY-0218SD,41,25472,0,99.5,0,479
NBSY-0218SD,41,25473,0,1494,0,319
NBSY-0218SD,41,25474,99.5,462,319,346
NBSY-0218SD,41,25475,99.5,38,319,2391
NBSY-0218SD,41,25476,561.5,439,319,606
NBSY-0218SD,41,25477,137.5,797.2,925,1120
NBSY-0218SD,41,25478,137.5,280,925,2398
NBSY-0218SD,41,25479,137.5,389,925,441
NBSY-0218SD,42,25480,0,410,0,655
NBSY-0218SD,42,25481,0,1736,0,58
NBSY-0218SD,42,25483,410,58,58,947
NBSY-0218SD,42,25484,468,310,58,261
NBSY-0218SD,42,25485,468,662,319,558
NBSY-0218SD,42,25486,468,671,877,376
NBSY-0218SD,42,25487,468,541,877,1494
NBSY-0218SD,42,25488,468,478.5,877,473.5
NBSY-0218SD,42,25489,0,447,1005,636
NBSY-0218SD,42,25490,778,338,58,158
NBSY-0218SD,42,25491,0,428,1641,161
NBSY-0218SD,42,25492,0,312,1802,356
NBSY-0218SD,42,25493,0,711,2371,52.5
NBSY-0218SD,43,25494,0,278,0,735
NBSY-0218SD,43,25495,0,2038,0,580
NBSY-0218SD,43,25496,0,2438,0,38
NBSY-0218SD,43,25497,278,298,580,78
NBSY-0218SD,43,25498,576,471,580,339
NBSY-0218SD,43,25499,576,2377,580,415
NBSY-0218SD,44,25500,0,2425,0,568
NBSY-0218SD,44,25501,0,230.5,568,376
NBSY-0218SD,44,25502,230.5,946,568,482
NBSY-0218SD,44,25503,230.5,310,568,1447.5
NBSY-0218SD,44,25504,540.5,379,1050,732
NBSY-0218SD,44,25505,919.5,255,1050,267
NBSY-0218SD,44,25506,540.5,327,1782,392
NBSY-0218SD,45,25507,0,1243,0,348
NBSY-0218SD,45,25508,0,378,348,180
NBSY-0218SD,45,25509,378,601,348,345
NBSY-0218SD,45,25510,0,745,693,586
NBSY-0218SD,45,25511,745,418.5,693,815
NBSY-0218SD,45,25512,0,312,1279,323.5
NBSY-0218SD,45,25513,0,2384,1279,58
NBSY-0218SD,45,25514,312,727,1508,630
NBSY-0218SD,45,25515,312,447,1508,636
NBSY-0218SD,45,25516,312,319,1508,1429.5
NBSY-0218SD,45,25517,1163.5,48,348,395
NBSY-0218SD,46,25518,0,58,0,750
NBSY-0218SD,46,25519,58,840,0,530
NBSY-0218SD,46,25520,58,778,530,326
NBSY-0218SD,46,25521,898,158,0,388
NBSY-0218SD,46,25522,0,727,856,58
NBSY-0218SD,46,25523,0,770,914,418
NBSY-0218SD,46,25524,0,466,1332,387
NBSY-0218SD,46,25525,466,461,1332,132.5
NBSY-0218SD,46,25526,466,371,1332,2021.5
NBSY-0218SD,46,25527,466,535,1332,540
NBSY-0218SD,46,25528,466,723,1332,351
NBSY-0218SD,47,25529,0,397,0,58
NBSY-0218SD,47,25530,397,439,0,414
NBSY-0218SD,47,25531,836,53,0,697
NBSY-0218SD,47,25532,0,575,414,853
NBSY-0218SD,47,25533,889,58,0,991
NBSY-0218SD,47,25534,575,605.5,991,289
NBSY-0218SD,47,25535,575,2252,991,390
NBSY-0218SD,47,25536,0,574,1267,378
NBSY-0218SD,47,25537,0,1967,1267,58
NBSY-0218SD,47,25538,574,562,1381,261
NBSY-0218SD,47,25539,0,300,58,344
NBSY-0218SD,47,25540,574,455,1642,579
NBSY-0218SD,47,25541,574,38,1642,2438
NBSY-0218SD,47,25542,574,1063,1642,58
NBSY-0218SD,48,25543,0,2353,0,822
NBSY-0218SD,49,25544,0,900,0,287.5
NBSY-0218SD,49,25545,0,443,287.5,730.5
NBSY-0218SD,49,25546,900,158,0,387
NBSY-0218SD,49,25547,900,1371,0,812
NBSY-0218SD,49,25548,443,277.5,287.5,261
NBSY-0218SD,49,25549,443,408,548.5,640.5
NBSY-0218SD,49,25550,0,689,1189,297
NBSY-0218SD,49,25551,851,269,812,347
NBSY-0218SD,50,25552,0,953,0,2003
NBSY-0218SD,50,25553,0,392.5,0,2369
NBSY-0218SD,51,25554,0,457,0,1302
NBSY-0218SD,51,25555,457,288,0,118
NBSY-0218SD,51,25556,745,459,0,2001
NBSY-0218SD,51,25557,745,558,0,2370
NBSY-0218SD,52,25558,0,494,0,475
NBSY-0218SD,52,25559,494,128,0,350
NBSY-0218SD,52,25560,622,58,0,310
NBSY-0218SD,52,25561,680,349,0,414
NBSY-0218SD,52,25562,680,1616.5,0,962
NBSY-0218SD,52,25563,0,225.5,475,924
NBSY-0218SD,52,25564,225.5,288,475,78
NBSY-0218SD,52,25565,225.5,277,553,286
NBSY-0218SD,52,25566,225.5,329,839,922
NBSY-0218SD,53,25567,0,2394.5,0,375
NBSY-0218SD,53,25568,0,762,375,1961
NBSY-0218SD,53,25569,762,372.5,375,513
NBSY-0218SD,53,25570,762,505,375,132.5
NBSY-0218SD,54,25571,0,838,0,346.5
NBSY-0218SD,54,25572,838,300,0,380
NBSY-0218SD,54,25573,1138,38,0,1010
NBSY-0218SD,54,25574,0,800,346.5,92.5
NBSY-0218SD,54,25575,0,1622,346.5,261
NBSY-0218SD,54,25576,0,660,607.5,328
NBSY-0218SD,54,25577,0,1067,935.5,342
NBSY-0218SD,54,25578,1067,58,607.5,1010
NBSY-0218SD,54,25579,660,338,607.5,158
NBSY-0218SD,54,25580,0,713,1277.5,249.5
NBSY-0218SD,54,25581,0,613,1527,412
NBSY-0218SD,54,25582,713,310,1277.5,378.5
NBSY-0218SD,54,25583,660,327,765.5,154.5
NBSY-0218SD,54,25584,660,38,765.5,2438
NBSY-0218SD,54,25585,660,243,765.5,862
NBSY-0218SD,55,25586,0,885,0,555
NBSY-0218SD,55,25587,0,427,555,260
NBSY-0218SD,55,25588,885,298,0,598
NBSY-0218SD,55,25589,427,58,555,759
NBSY-0218SD,55,25590,485,360,555,597
NBSY-0218SD,55,25591,485,468,1152,578
NBSY-0218SD,55,25592,485,2438,1152,38
NBSY-0218SD,55,25593,0,1197,1730,498
NBSY-0218SD,55,25594,0,565.5,1730,548.5
NBSY-0218SD,55,25595,845,279.5,598,229
NBSY-0218SD,55,25596,845,658,598,338
NBSY-0218SD,55,25597,0,411,815,692
NBSY-0218SD,55,25598,845,338,936,158
NBSY-0218SD,56,25599,0,198,0,438
NBSY-0218SD,56,25600,198,337,0,1222
NBSY-0218SD,56,25601,535,479,0,99.5
NBSY-0218SD,56,25602,535,1235,0,298
NBSY-0218SD,56,25603,0,693,1222,299
NBSY-0218SD,56,25604,0,921,1521,58
NBSY-0218SD,56,25606,535,322,298,347
NBSY-0218SD,56,25607,857,118,298,578
