批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
0,LMW-0215S,0,32909,0,804,0,994.5
0,LMW-0215S,0,36881,0,804,994.5,994.5
0,LMW-0218S,0,32888,0,408,0,803
0,LMW-0218S,0,33216,408,408,0,803
0,LMW-0218S,0,33354,816,58,0,1628
0,LMW-0218S,0,33962,0,427,803,994.5
0,LMW-0218S,0,34484,427,408,1628,803
0,LMW-0218S,0,34503,427,803,1628,408
0,LMW-0218S,0,35014,427,408,1628,803
0,LMW-0218S,0,35281,874,58,0,1628
0,LMW-0218S,0,35519,874,803,0,408
0,LMW-0218S,0,35612,874,803,0,408
0,LMW-0218S,1,36568,0,428,0,1073
0,LMW-0218S,1,37274,0,1628,0,427
0,LMW-0218S,1,37350,0,1073,1073,428
0,LMW-0225S,0,34879,0,448,0,1705
0,LMW-0225S,0,36235,448,348,0,2198
0,LMW-0225S,0,36337,448,803,0,408
0,LMW-0225S,0,36651,796,408,408,803
0,NJYH-0215S,0,32475,0,1144.5,0,808.5
0,NJYH-0215S,0,34069,0,665,0,2133
0,NJYH-0215S,0,34180,0,1637,0,148
0,NJYH-0215S,0,34727,0,665,0,318
0,NJYH-0215S,1,34831,0,418,0,1637
0,NJYH-0215S,1,34894,0,1144.5,0,808.5
0,NJYH-0215S,2,35240,0,1189,0,2380.5
0,NJYH-0215S,2,35374,0,238,0,238
0,NJYH-0215S,2,35427,0,238,0,238
0,NJYH-0215S,3,35786,0,239,0,465
0,NJYH-0215S,3,36214,239,808.5,0,778
0,NJYH-0215S,3,36240,0,872,778,99
0,NJYH-0215S,3,36411,0,238,465,158
0,NJYH-0215S,3,37199,872,212.5,778,508
0,NJYH-0215S,3,33066,0,877.5,1286,872
0,NJYH-0215S,3,37457,0,521,877,184.5
0,NJYH-0215S,3,32793,0,509,2158,239
0,NJYH-0215S,3,32963,0,148,2158,1189
0,NJYH-0215S,3,33005,0,808.5,2158,778
0,NJYH-0215S,4,33151,0,388,0,118
0,NJYH-0215S,4,33190,388,612,0,1479
0,NJYH-0215S,4,33406,1000,158,0,238
0,NJYH-0215S,4,33421,0,238,118,158
0,NJYH-0215S,4,33606,238,118,118,388
0,NJYH-0215S,4,33777,1000,92.5,238,747
0,NJYH-0215S,4,33797,0,389,1479,748
0,NJYH-0215S,4,33995,389,389,1479,748
0,NJYH-0215S,4,34085,0,158,276,238
0,NJYH-0215S,4,34290,0,465,276,239
0,NJYH-0215S,4,34566,0,464,2227,132.5
0,NJYH-0215S,4,34580,1092.5,92.5,238,747
0,NJYH-0215S,4,35258,0,132.5,515,464
0,NJYH-0215S,4,35359,464,454,2227,132.5
0,NJYH-0215S,4,35376,0,388,979,118
0,NJYH-0215S,4,35594,132.5,238,515,158
0,NJYH-0215S,4,36307,1000,118,985,388
0,NJYH-0215S,4,36610,1000,511,985,184.5
0,NJYH-0215S,4,37164,132.5,238,673,158
0,NJYH-0215S,4,37226,1000,184.5,1373,521
0,NJYH-0215S,4,32502,1000,529.5,1373,612
0,NJYH-0215S,4,32613,1000,455,1373,239
0,NJYH-0215S,5,33768,0,239,0,338
0,NJYH-0215S,5,34739,239,239,0,338
0,NJYH-0215S,5,35682,0,767,338,782
0,NJYH-0215S,5,35832,478,198,0,238
0,NJYH-0215S,5,32473,676,338,0,239
0,NJYH-0215S,5,32476,767,238,239,198
0,NJYH-0215S,5,33058,1014,172.5,0,337
0,NJYH-0215S,5,33170,1005,198,337,238
0,NJYH-0215S,5,33275,767,238,437,198
0,NJYH-0215S,5,33488,767,238,635,198
0,NJYH-0215S,5,33852,0,782,1120,373
0,NJYH-0215S,5,34248,767,337,833,172.5
0,NJYH-0215S,5,34288,0,612,1493,352
0,NJYH-0215S,5,34412,782,178,1005.5,1160
0,NJYH-0215S,5,35694,960,238,1005.5,198
0,NJYH-0215S,5,35764,960,238,1203.5,198
0,NJYH-0215S,5,36059,960,172.5,1401.5,337
0,NJYH-0215S,5,36100,960,172.5,1738.5,337
0,NJYH-0215S,5,36653,1005,198,575,238
0,NJYH-0215S,5,37109,0,239,1845,338
0,NJYH-0218S,0,32547,0,38,0,1793
0,NJYH-0218S,0,32645,38,315,0,48
0,NJYH-0218S,0,32707,353,48,0,315
0,NJYH-0218S,0,32744,401,340,0,408.5
0,NJYH-0218S,0,33016,741,58,0,665
0,NJYH-0218S,0,33057,799,340,0,408.5
